LOCATION,TIME,Value
AUS,1976,104079.405
AUS,1977,110056.543
AUS,1978,123092.289
AUS,1979,137700.414
AUS,1980,154714.29
AUS,1981,177927.212
AUS,1982,181561.596
AUS,1983,196112.732
AUS,1984,211307.195
AUS,1985,228433.427
AUS,1986,239508.375
AUS,1987,260400.381
AUS,1988,282358.294
AUS,1989,298996.814
AUS,1990,303536.564
AUS,1991,313292.169
AUS,1992,333745.071
AUS,1993,354785.379
AUS,1994,380139.685
AUS,1995,402481.437
AUS,1996,423181.512
AUS,1997,449576.869
AUS,1998,476921.51
AUS,1999,509779.868
AUS,2000,537613.644
AUS,2001,568472.868
AUS,2002,599301.22
AUS,2003,635958.179
AUS,2004,675038.955
AUS,2005,717705.079
AUS,2006,773925.843
AUS,2007,824690.484
AUS,2008,851983.13
AUT,1976,52552.426
AUT,1977,58653.225
AUT,1978,62646.55
AUT,1979,71478.283
AUT,1980,79284.374
AUT,1981,86661.176
AUT,1982,93865.958
AUT,1983,100442.497
AUT,1984,104119.538
AUT,1985,110096.149
AUT,1986,114898.143
AUT,1987,119336.908
AUT,1988,127618.385
AUT,1989,137776.553
AUT,1990,149145.39
AUT,1991,159495.737
AUT,1992,166545.677
AUT,1993,171389.776
AUT,1994,179254.497
AUT,1995,187895.922
AUT,1996,194997.651
AUT,1997,202530.57
AUT,1998,212772.479
AUT,1999,220639.939
AUT,2000,235450.19
AUT,2001,238981.852
AUT,2002,251984.784
AUT,2003,260788.036
AUT,2004,275769.77
AUT,2005,288086.722
AUT,2006,310998.391
AUT,2007,326699.296
AUT,2008,343812.976
BEL,1976,68068.838
BEL,1977,72750.884
BEL,1978,80081.002
BEL,1979,88755.282
BEL,1980,101107.507
BEL,1981,110365.386
BEL,1982,117881.233
BEL,1983,122880.374
BEL,1984,130453.59
BEL,1985,136802.084
BEL,1986,142100.93
BEL,1987,148973.191
BEL,1988,161512.644
BEL,1989,173667.294
BEL,1990,185820.844
BEL,1991,195626.274
BEL,1992,203147.02
BEL,1993,205959.831
BEL,1994,217146.04
BEL,1995,226986.213
BEL,1996,230441.688
BEL,1997,241539.914
BEL,1998,248626.188
BEL,1999,260168.781
BEL,2000,284950.464
BEL,2001,296258.682
BEL,2002,312900.475
BEL,2003,320632.747
BEL,2004,333856.905
BEL,2005,347658.439
BEL,2006,371415.055
BEL,2007,390457.716
BEL,2008,405729.43
CAN,1976,187951.588
CAN,1977,206493.267
CAN,1978,229158.872
CAN,1979,257381.303
CAN,1980,286679.746
CAN,1981,324707.915
CAN,1982,333780.398
CAN,1983,355876.659
CAN,1984,390501.086
CAN,1985,421935.112
CAN,1986,439665.103
CAN,1987,468885.928
CAN,1988,506833.394
CAN,1989,538906.579
CAN,1990,560000.309
CAN,1991,566861
CAN,1992,584998.762
CAN,1993,614793.811
CAN,1994,656143.717
CAN,1995,687948.942
CAN,1996,711888.548
CAN,1997,755158.587
CAN,1998,793411.459
CAN,1999,846421.343
CAN,2000,901029.605
CAN,2001,937274.87
CAN,2002,971009.088
CAN,2003,1023165.602
CAN,2004,1083146.524
CAN,2005,1171340.162
CAN,2006,1241194.165
CAN,2007,1300942.608
CAN,2008,1342396.613
CZE,1990,131987.382
CZE,1991,120602.183
CZE,1992,122725.773
CZE,1993,125711.264
CZE,1994,132131.102
CZE,1995,142784.042
CZE,1996,151155.623
CZE,1997,152702.018
CZE,1998,154180.022
CZE,1999,158333.514
CZE,2000,166568.303
CZE,2001,180105.226
CZE,2002,186119.946
CZE,2003,198965.796
CZE,2004,213269.646
CZE,2005,225620.781
CZE,2006,244624.887
CZE,2007,270349.144
CZE,2008,290503.947
DNK,1976,34966.278
DNK,1977,37833.463
DNK,1978,41396.141
DNK,1979,46565.157
DNK,1980,50526.186
DNK,1981,54938.65
DNK,1982,60482.2
DNK,1983,64482.81
DNK,1984,69592.53
DNK,1985,74667.785
DNK,1986,79907.103
DNK,1987,82091.001
DNK,1988,84975.149
DNK,1989,88876.206
DNK,1990,93563.362
DNK,1991,98075.471
DNK,1992,102273.607
DNK,1993,104707.944
DNK,1994,112646.596
DNK,1995,118490.59
DNK,1996,124645.348
DNK,1997,131700.486
DNK,1998,136917.875
DNK,1999,141846.299
DNK,2000,153089.947
DNK,2001,157816.394
DNK,2002,164720.391
DNK,2003,165968.36
DNK,2004,177870.417
DNK,2005,185074.466
DNK,2006,202725.721
DNK,2007,212771.394
DNK,2008,226767.494
FIN,1976,28098.137
FIN,1977,29915.454
FIN,1978,32954.538
FIN,1979,38230.362
FIN,1980,43930.08
FIN,1981,48719.588
FIN,1982,53337.393
FIN,1983,57153.909
FIN,1984,61133.087
FIN,1985,65304.549
FIN,1986,68455.509
FIN,1987,72655.738
FIN,1988,79142.893
FIN,1989,86429.513
FIN,1990,90265.862
FIN,1991,87825.403
FIN,1992,86867.373
FIN,1993,88336.821
FIN,1994,93798.735
FIN,1995,99803.842
FIN,1996,102688.609
FIN,1997,111981.083
FIN,1998,121498.841
FIN,1999,127934.786
FIN,2000,138703.58
FIN,2001,144266.623
FIN,2002,148763.802
FIN,2003,151289.787
FIN,2004,162992.94
FIN,2005,168146.753
FIN,2006,181207.156
FIN,2007,199873.495
FIN,2008,212980.742
FRA,1976,350844.298
FRA,1977,385553.046
FRA,1978,429090.56
FRA,1979,481186.916
FRA,1980,532935.642
FRA,1981,589599.228
FRA,1982,641710.412
FRA,1983,675119.392
FRA,1984,710063.913
FRA,1985,744406.479
FRA,1986,777147.28
FRA,1987,816764.199
FRA,1988,885681.871
FRA,1989,960384.657
FRA,1990,1025467.267
FRA,1991,1071258.248
FRA,1992,1113194.79
FRA,1993,1132405.395
FRA,1994,1183862.802
FRA,1995,1234149.753
FRA,1996,1273114.085
FRA,1997,1333377.621
FRA,1998,1405861.087
FRA,1999,1470523.886
FRA,2000,1589936.939
FRA,2001,1687447.704
FRA,2002,1762925.935
FRA,2003,1751797.978
FRA,2004,1820723.319
FRA,2005,1926880.385
FRA,2006,2062931.189
FRA,2007,2181667.496
FRA,2008,2259255.844
DEU,1976,538940.87
DEU,1977,591587.583
DEU,1978,652248.608
DEU,1979,735679.663
DEU,1980,813434.564
DEU,1981,895115.59
DEU,1982,946665.165
DEU,1983,999212.371
DEU,1984,1064486.011
DEU,1985,1123714.034
DEU,1986,1172565.241
DEU,1987,1218404.493
DEU,1988,1308145.382
DEU,1989,1412399.974
DEU,1990,1542270.904
DEU,1991,1675874.205
DEU,1992,1747028.659
DEU,1993,1770950.493
DEU,1994,1852030.727
DEU,1995,1920062.397
DEU,1996,1967539.568
DEU,1997,2015112.101
DEU,1998,2079407.818
DEU,1999,2158515.841
DEU,2000,2237046.164
DEU,2001,2337156.838
DEU,2002,2406900.908
DEU,2003,2465900.62
DEU,2004,2583409.013
DEU,2005,2622039.802
DEU,2006,2810242.832
DEU,2007,2981616.28
DEU,2008,3103958.247
GRC,1976,54482.638
GRC,1977,59569.735
GRC,1978,68380.347
GRC,1979,76484.087
GRC,1980,83957.603
GRC,1981,90473.923
GRC,1982,94975.549
GRC,1983,97630.97
GRC,1984,103186.985
GRC,1985,109121.647
GRC,1986,111895.497
GRC,1987,112072.045
GRC,1988,121000.321
GRC,1989,130522.216
GRC,1990,135408.097
GRC,1991,144326.874
GRC,1992,148649.263
GRC,1993,149736.445
GRC,1994,155992.561
GRC,1995,162607.547
GRC,1996,170909.839
GRC,1997,182840.026
GRC,1998,193323.724
GRC,1999,198711.939
GRC,2000,210979.958
GRC,2001,227712.096
GRC,2002,246559.281
GRC,2003,260874.534
GRC,2004,278691.884
GRC,2005,281028.396
GRC,2006,314201.08
GRC,2007,323551.015
GRC,2008,341817.829
HUN,1991,86153.044
HUN,1992,85416.346
HUN,1993,86936.351
HUN,1994,91409.629
HUN,1995,94716.456
HUN,1996,96196.504
HUN,1997,101067.167
HUN,1998,106748.524
HUN,1999,111315.201
HUN,2000,121085.109
HUN,2001,134614.917
HUN,2002,147567.884
HUN,2003,156657.223
HUN,2004,164041.614
HUN,2005,172222.023
HUN,2006,184680.779
HUN,2007,191472.991
HUN,2008,207757.652
ISL,1976,1648.904
ISL,1977,1905.868
ISL,1978,2162.66
ISL,1979,2455.925
ISL,1980,2831.687
ISL,1981,3231.825
ISL,1982,3505.428
ISL,1983,3564.367
ISL,1984,3845.445
ISL,1985,4097.684
ISL,1986,4442.329
ISL,1987,4941.191
ISL,1988,5110.898
ISL,1989,5324.989
ISL,1990,5588.921
ISL,1991,5765.009
ISL,1992,5697.451
ISL,1993,5909.046
ISL,1994,6253.029
ISL,1995,6391.587
ISL,1996,6646.209
ISL,1997,7283.499
ISL,1998,7870.617
ISL,1999,8198.7
ISL,2000,8377.672
ISL,2001,9087.577
ISL,2002,9375.293
ISL,2003,9457.361
ISL,2004,10393.946
ISL,2005,11074.926
ISL,2006,12044.114
ISL,2007,12902.915
ISL,2008,13879.916
IRL,1976,13546.72
IRL,1977,15569.903
IRL,1978,17862.738
IRL,1979,19939.207
IRL,1980,22409.778
IRL,1981,25345.915
IRL,1982,27526.366
IRL,1983,28534.63
IRL,1984,30851.409
IRL,1985,32809.129
IRL,1986,33326.508
IRL,1987,35742.973
IRL,1988,38934.425
IRL,1989,42813.144
IRL,1990,48176.258
IRL,1991,50766.527
IRL,1992,53659.393
IRL,1993,56409.804
IRL,1994,60930.551
IRL,1995,68201.558
IRL,1996,74317.043
IRL,1997,83140.526
IRL,1998,93157.139
IRL,1999,101534.479
IRL,2000,114987.727
IRL,2001,125967.524
IRL,2002,138490.842
IRL,2003,144856.325
IRL,2004,157524.601
IRL,2005,168336.081
IRL,2006,188778.262
IRL,2007,205504.05
IRL,2008,198299.13
ITA,1976,354559.402
ITA,1977,386232.024
ITA,1978,426793.645
ITA,1979,489746.375
ITA,1980,552301.133
ITA,1981,609664.733
ITA,1982,650008.43
ITA,1983,683365.386
ITA,1984,730858.933
ITA,1985,775068.718
ITA,1986,813290.958
ITA,1987,860001.309
ITA,1988,927681.412
ITA,1989,996715.37
ITA,1990,1054559.203
ITA,1991,1106994.301
ITA,1992,1141667.537
ITA,1993,1158749.958
ITA,1994,1208950.871
ITA,1995,1269932.783
ITA,1996,1307915.738
