FIFA,ISO3166,Name
TPE,TWN,
AFG,AFG,Afghanistan
ALB,ALB,Albania
ALG,DZA,Algeria
ASA,ASM,American Samoa
AND,AND,Andorra
ANG,AGO,Angola
AIA,AIA,Anguilla
ROS,ATA,Antarctica
ATG,ATG,Antigua and Barbuda
ARG,ARG,Argentina
ARM,ARM,Armenia
ARU,ABW,Aruba
AUS,AUS,Australia
AUT,AUT,Austria
AZE,AZE,Azerbaijan
BAH,BHS,Bahamas
BHR,BHR,Bahrain
BAN,BGD,Bangladesh
BRB,BRB,Barbados
BLR,BLR,Belarus
BEL,BEL,Belgium
BLZ,BLZ,Belize
BEN,BEN,Benin
BER,BMU,Bermuda
BHU,BTN,Bhutan
BOL,BOL,Bolivia (Plurinational State of)
ANT,BES,"Bonaire, Sint Eustatius and Saba"
BIH,BIH,Bosnia and Herzegovina
BOT,BWA,Botswana
,BVT,Bouvet Island
BRA,BRA,Brazil
,IOT,British Indian Ocean Territory
VGB,VGB,British Virgin Islands
BRU,BRN,Brunei Darussalam
BUL,BGR,Bulgaria
BFA,BFA,Burkina Faso
BDI,BDI,Burundi
CPV,CPV,Cabo Verde
CAM,KHM,Cambodia
CMR,CMR,Cameroon
CAN,CAN,Canada
CAY,CYM,Cayman Islands
CTA,CAF,Central African Republic
CHA,TCD,Chad
CHI,CHL,Chile
CHN,CHN,China
HKG,HKG,"China, Hong Kong Special Administrative Region"
MAC,MAC,"China, Macao Special Administrative Region"
CXR,CXR,Christmas Island
CCK,CCK,Cocos (Keeling) Islands
COL,COL,Colombia
COM,COM,Comoros
CGO,COG,Congo
COK,COK,Cook Islands
CRC,CRI,Costa Rica
CRO,HRV,Croatia
CUB,CUB,Cuba
,CUW,Curaçao
CYP,CYP,Cyprus
CZE,CZE,Czechia
CIV,CIV,Côte d'Ivoire
PRK,PRK,Democratic People's Republic of Korea
COD,COD,Democratic Republic of the Congo
DEN,DNK,Denmark
DJI,DJI,Djibouti
DMA,DMA,Dominica
DOM,DOM,Dominican Republic
ECU,ECU,Ecuador
EGY,EGY,Egypt
SLV,SLV,El Salvador
EQG,GNQ,Equatorial Guinea
ERI,ERI,Eritrea
EST,EST,Estonia
SWZ,SWZ,Eswatini
ETH,ETH,Ethiopia
FLK,FLK,Falkland Islands (Malvinas)
FRO,FRO,Faroe Islands
FIJ,FJI,Fiji
FIN,FIN,Finland
FRA,FRA,France
GUF,GUF,French Guiana
TAH,PYF,French Polynesia
,ATF,French Southern Territories
GAB,GAB,Gabon
GAM,GMB,Gambia
GEO,GEO,Georgia
GER,DEU,Germany
GHA,GHA,Ghana
GBZ,GIB,Gibraltar
GRE,GRC,Greece
GRL,GRL,Greenland
GRN,GRD,Grenada
GLP,GLP,Guadeloupe
GUM,GUM,Guam
GUA,GTM,Guatemala
GBG,GGY,Guernsey
GUI,GIN,Guinea
GNB,GNB,Guinea-Bissau
GUY,GUY,Guyana
HAI,HTI,Haiti
,HMD,Heard Island and McDonald Islands
VAT,VAT,Holy See
HON,HND,Honduras
HUN,HUN,Hungary
ISL,ISL,Iceland
IND,IND,India
IDN,IDN,Indonesia
IRN,IRN,Iran (Islamic Republic of)
IRQ,IRQ,Iraq
IRL,IRL,Ireland
GBM,IMN,Isle of Man
ISR,ISR,Israel
ITA,ITA,Italy
JAM,JAM,Jamaica
JPN,JPN,Japan
GBJ,JEY,Jersey
JOR,JOR,Jordan
KAZ,KAZ,Kazakhstan
KEN,KEN,Kenya
KIR,KIR,Kiribati
KUW,KWT,Kuwait
KGZ,KGZ,Kyrgyzstan
LAO,LAO,Lao People's Democratic Republic
LVA,LVA,Latvia
LIB,LBN,Lebanon
LES,LSO,Lesotho
LBR,LBR,Liberia
LBY,LBY,Libya
LIE,LIE,Liechtenstein
LTU,LTU,Lithuania
LUX,LUX,Luxembourg
MAD,MDG,Madagascar
MWI,MWI,Malawi
MAS,MYS,Malaysia
MDV,MDV,Maldives
MLI,MLI,Mali
MLT,MLT,Malta
MHL,MHL,Marshall Islands
MTQ,MTQ,Martinique
MTN,MRT,Mauritania
MRI,MUS,Mauritius
MYT,MYT,Mayotte
MEX,MEX,Mexico
FSM,FSM,Micronesia (Federated States of)
MON,MCO,Monaco
MNG,MNG,Mongolia
